slno,BRAND_NAME
B601,CLASSIC SYNERGY INDIA PVT LTD
B602,V.P.FOODS
B603,TWISS
B604,MANDYA ORGANIC FOODS PVT LTD
B605,MG PLANTATIONS LLP
B606,KIJI FOODS AND BEVERAGES PVT L
B607,ADITYA BIRLA GROUP
B608,OTC GLOBAL LTD
B609,IMPORTED - P&G
B610,AQUASURE
B611,CAVINCARE LIMITED (GARDEN SNACKS)
B612,VOKGA FOODS
B613,NAMOO IMPEX
B614,KSHETRA AGRICULTURAL PRODUCTS
B615,HITECHLOGISTICS & MARKETING (P) LTD
B616,MANPASAND AGRO FOOD
B617,VCARE HERBAL CNCEPTS PVT LTD
B618,MEHTA INDUSTRIAL CORPORATION
B619,IMPORTED - RECKITT BENCKISER(INDIA) LTD.
B620,INDIAN PRODUCTS LIMITED
B621,FARMERIE
B622,ECO PRO GARBAGE BAGS
B623,HEALTHY CAKES AND FOODS
B624,BUSH BOAKE ALLEN(IND) LTD.
B625,PUNE FARMERS
B626,BOLSTS INDIAN CONDIMENTS PVT LTD
B627,SAVVY FOODS
B628,KRBL LIMITED
B629,IMPORTED FOODS (DEVI)
B630,IMPORTED FOODS (DELUXE )
B631,WIREFORM COMPONENTS(INDIA)PVT
B632,BREW MASTER
B633,MILK MANTRA DAIRY PRIVATE LTD
B634,M. NAGAPPA & SONS
B635,BRIYAS FOODS PVT LTD
B636,SRI KANYAKAPARAMESHWARI OIL MI
B637,PLANET POP FOODS PRIVATE LIMIT
B638,IMPORTED FOODS (NACHO)
B639,IMPORTED FOODS (SAMS)
B640,EMAMI BIOTECH LIMITED
B641,NILGAI FOODS PVT LTD
B642,GRAND CHEF INDIAN FOODS PRIVAT
B643,UNIQUE COOKWARE (INDIA) PRIVAT
B644,VENTUREN BEVERAGES PRIVATE LIM
B645,GLENMARK
B646,BOMBAY BITES
B647,FRIENDS ASSOCIATES
B648,SCHOLL PIRAMAL
B649,GARDEN NAMKEENS PVT LTD.
B650,IMPERIAL CUSSON'S LTD
B651,SRI KRISHNA ENTERPRISES
B652,BREWBERRY
B653,OISHI FOODS
B654,AJINOMOTTO
B655,BRITE INTERNATIONAL
B656,WYETH LIMITED (ANNE FRENCH)
B657,IMPORTED FOODS (AVEES)
B658,IMPORTED CANNED FOODS
B659,IFB AGRO INDUTRIES LMT
B660,MANJUSHREE PLANTATIONS LTD.
B661,THE UNITED NILGIRI TEA ESTATES
B662,CAUVERY
B663,NILGIRI NUTRAL ORGANICS & CO.
B664,INTERNATIONAL SERVICES
B665,LAKME LEVER'S
B666,WEST COAST FROZEN PVT LTD
B667,IMPORTED FOODS (ORIGINAL CHOICE)
B668,FARMERS FIRST
B669,JAIN AGRO FOOD PRODUCTS(P) LTD
B670,K.L.F.OIL INDUSTRIES
B671,ACC GEE
B672,KRPL LTD
B673,CITY AUTOMOBILE
B674,S.P.V FOODS
B675,UNIVERSAL TRADING CORPORATION
B676,RAVI FOODS (DUKES)
B677,SREE ANJENAYA AGRO TECH PRT. L
B678,STITCH INDIA CLOTHING CO
B679,BENNETT COLEMAN & CO. LTD.
B680,SURESH MARKETING
B681,ADANI WILMAR LIMITED
B682,LAKSHMI KRISHNA AGENCIES
B683,BLISS FOODS
B684,PADMA PERFUMERY WORKS
B685,TRUE BISCUITS AUROFOOD P.LTD.
B686,K.P.AGENCIES
B687,B.S.TRADERS
B688,A.B. AGENCIES
B689,MOHAN MEAKIN LTD.
